timestamp,longitude,latitude,stepcount
1711200580,24.824139583333334,60.18827916666667,10
1711200590,24.824098499999998,60.188224000000005,28
1711200600,24.824078,60.18814316666667,46
1711200610,24.82393583333333,60.188007500000005,64
1711200620,24.823762,60.18788133333334,82
1711200630,24.823566333333336,60.18780866666667,102
1711200640,24.823395666666663,60.187711,122
1711200650,24.82324933333333,60.187618666666665,138
1711200660,24.823041833333335,60.187589333333335,158
1711200670,24.82296583333333,60.18744716666667,176
1711200680,24.822920666666665,60.187320833333345,196
1711200690,24.822805166666665,60.18718066666666,216
1711200700,24.822656833333333,60.18708233333333,236
1711200710,24.822424166666668,60.187105499999994,254
1711200720,24.822178333333333,60.187178833333334,274
1711200730,24.82189766666667,60.18723633333333,288
1711200740,24.821617833333335,60.18726183333333,316
1711200750,24.821335166666668,60.1873055,336
1711200760,24.821049166666665,60.187314666666666,354
1711200770,24.820839999999997,60.187369000000004,376
1711200780,24.820574,60.1874645,394
1711200790,24.820256999999998,60.18753283333334,416
1711200800,24.819974166666665,60.18754533333333,436
1711200810,24.819696999999998,60.18757916666666,456
1711200820,24.819441500000003,60.18761133333334,474
1711200830,24.819205000000004,60.18759416666667,494
1711200840,24.8190455,60.18749133333332,508
1711200850,24.819065666666667,60.18744816666666,528
1711200860,24.819520163636366,60.187424854545455,538